review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,inverter_rating,has_images,image_urls,overall_rating,quality_rating
118570,Ted,QLD - 4511,QLD,4511,True,2024-01-22,22 January 2024,4.75,,"Very efficient on the phone and on site discussing our needs. The installers were very efficient , tidy, polite and attention to detail, the connection to grid was all done and organised. all we had to do at all really was pay the invoice on completion",5.0,5.0,5.0,4.0,10kW,"$8,000 to $10,000",,Goodwe,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
70666,Elaine,QLD - 4680,QLD,4680,True,2019-11-23,23 November 2019,4.5,,"Had our SolarHart hot water system installed on 3/7/19. Great service from Ari in the Gladstone office, and Lindsay and Rob from Rayliz Plumbing did a fantastic job on installation and promptly came back when I had a query about hot water to kitchen. The distance is from the back of the house to the front for the water to travel, so it takes a long time to heat. Probably uses about 10litres of water at night before the water is hot enough to run for washing up water and a bit less during the day. I often boil the kettle, which is a bit annoying, as this is a faster way to heat the sink water, but a minor detail, as the shower water is great.The one thing I am really annoyed about is that the switch has been turned off, and not by us, to our solar panels ( which were already installed ) and not turned back on. We did not know this until we got a $600 electricity bill!!! After countless calls to SolarHart and also speaking personally with the Electrician, no-one would take responsibility as Ergon aren't able to pinpoint the exact date the switch was turned off.I was dissapointed that SolarHart management didn't just step up to the plate and admit that it must have been their mistake, going on the fact that we hadn't generated Solar energy for the ENTIRE 3month period we'd had the unit, yet for the entire 7.5 year period prior, that we'd had the solar panels, they'd generate 13.5.- 15KW/day, which equates to our bill being in credit by $520 each 3month bill and more in summer.So, in summary, I would recommend this product, but would urge any other potential customers with solar panels on their roof, to get both the Electician - who installs a booster switch into the power box- and the plumbers who install the unit, to double check before leaving that the switch for the solar panels are deffinately turned back to the ON position, so you don't find yourselves in the same position as us.I had been looking forward to getting our first power bill, since our SolarHart installation, so we could see how much we had saved.  Now we will just have to wait until the next bill.Not entirely happy customer :(",4.0,5.0,5.0,4.0,1.5kW,"$4,000 to $6,000",,,,,False,[],0,0
65279,Grant,QLD - 4211,QLD,4211,True,2019-06-19,19 June 2019,5.0,,,5.0,5.0,5.0,5.0,1.5kW,"$6,000 to $10,000",,,,,False,[],0,0
58261,Anon,QLD - 4818,QLD,4818,True,2019-01-09,09 January 2019,5.0,,,5.0,5.0,5.0,5.0,More than 6kW,"$10,000 to $15,000",,,,,False,[],0,0
