review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,inverter_rating,has_images,image_urls,overall_rating,quality_rating
139295,Christina,WA - 6210,WA,6210,True,2025-11-02,02 November 2025,5.0,,I was approached by a sales person who talked me through all the details and have been pleased with the results and price.,5.0,5.0,5.0,5.0,5kW,,,I don't know,,5.0,False,[],0,0
116699,Kim,VIC - 3658,VIC,3658,True,2023-11-17,17 November 2023,1.0,,We signed up in july and coming up to December and we are still no closer to being able to use Solar even though the panels have been on the roof since August. This company is the worst company I have ever dealt with. Do yourself a favour and save yourself the absolute nightmare that follows. They are still selling these systems on a daily basis when they don’t even have the supplies to finish a job that was signed up in July. If I don’t constantly reach out to them all I hear is crickets. This is the most expensive system around which I thought would give me a good quality product and people who knew what they were doing but know I’m left wondering if these panels are ever going to work. Don’t know who to get to fix this problem.,1.0,1.0,1.0,1.0,8kW,"$15,000 to $20,000",,Fimer,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
80773,Theresa,WA - 6330,WA,6330,True,2020-08-25,25 August 2020,5.0,,"In relation to installation, went ahead on the day stated & was done efficiently taken the time to consult as required. Problem solved readily & quickly. Everything was in place and looked to be good, made it easy for my tenant. Really warm approach taking the time and care out to make sure everything went smoothly.",5.0,5.0,5.0,5.0,4kW,"$8,000 to $10,000",,Fronius,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
70850,Geoff,VIC - 3429,VIC,3429,True,2019-11-28,28 November 2019,5.0,,The initial sit down chat with sales personal was timely and informative. The stall boys were very friendly and fast working. The important thing being they were on time.After sales service has been very helpful to date.,5.0,5.0,5.0,5.0,5kW,"$10,000 to $12,500",,Fimer,,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
67246,Kaylene,VIC - 3911,VIC,3911,True,2019-08-12,12 August 2019,5.0,,"From the first contact with Cheral, to Julian and Leanne who then organised everything, to the installers to the inspector, everyone from Climasolar have shown professionalism, respect, knowledge, great people skills, were not pushy and communicated exceptionally well in advance throughout the whole process.During installation the workmanship was excellent plus they kept the site tidy at all times.Great communication between the installers and the office was observed.We were instantly informed / consulted with regard to any changes that needed to be made. All had our best interests foremost and made changes where necessary.Post installation: they are easy to contact and quick to respond. They have been diligent in obtaining the Government Rebate even when the Government put a halt on further rebates until July 1st they kept us informed and ensured our application was submitted and was in the system.We have had no problems post  installation and are now reaping the benefits of being paid for excess Solar electricity going to the grid even during this very cold and wet winter. Look forward to summer when we will reap even greater benefits.",5.0,5.0,5.0,5.0,5kW,"$10,000 to $12,500",,Fimer,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
67146,Cynthia,VIC - 3978,VIC,3978,True,2019-08-08,08 August 2019,4.75,,"Installation polite and punctual. Customer service, organised everything  Sales, everything talked about in detail.",5.0,5.0,4.0,5.0,5kW,"$8,000 to $10,000",,,,,False,[],0,0
67130,Danny,VIC - 3046,VIC,3046,True,2019-08-08,08 August 2019,5.0,,"We installed a 20KW system on our shop & 10KW system on our house.Extremely professional, sales process was explained well.Got multiple quotes (they were a bit more expensive) but their approach stuck out for me, they were friendly & made me feel comfortable.Grid connection was quick & now just waiting to change energy providers for a better tariff.Have recommended them to a few friends.",5.0,5.0,5.0,5.0,20kW,"More than $20,000",,Fimer,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
61595,Ross,VIC - 3040,VIC,3040,True,2019-03-23,23 March 2019,5.0,,From the first encounter to service post installation Julian and Clima Solar have been exceptional. Explaining a complicated process in a way I could understand to help me make an informed decision and determine the best outcome for my requirements. I would highly recommend Julian and Clima Solar.,5.0,5.0,5.0,5.0,More than 6kW,"$6,000 to $10,000",,,,,False,[],0,0
57460,Peter,VIC - 3196,VIC,3196,True,2018-12-20,20 December 2018,4.5,,Communication was prompt. Any questions asked were answered in a reasonably short time frame.  Good follow up with installation,4.0,4.0,5.0,5.0,4kW,"$6,000 to $10,000",,,,,False,[],0,0
55236,Heath,VIC - 3763,VIC,3763,True,2018-11-05,05 November 2018,4.5,,Sent 2 team members out to quote in person. Went through what they provide and what we could expect from solar in our area and recommended a 5kw system. I wanted one that is upgradable and battery ready. Installation team were quick friendly and efficient.,4.0,5.0,5.0,4.0,5kW,"$6,000 to $10,000",,,,,False,[],0,0
